"","Estimate","SE","LB CI","UB CI","N","Switchers","N.w","Switchers.w","Time"
"Effect_1    ",3.17509696375401,2.18122055484809,-1.10001676608671,7.45021069359473,34,6,34,6,1
"Effect_2    ",2.85261940124578,1.64839002360446,-0.378165677494084,6.08340447998564,34,6,34,6,2
"Effect_3    ",2.42315928593633,1.39510259798624,-0.311191560854954,5.15751013272761,34,6,34,6,3
"Effect_4    ",3.88079499142865,1.00933725499526,1.90253032338343,5.85905965947388,34,6,34,6,4
"Effect_5    ",2.73851602732958,0.469006608484413,1.81927996618885,3.65775208847031,34,6,34,6,5
"Effect_6    ",2.77657710672134,0.665308951048535,1.47259552407409,4.0805586893686,34,6,34,6,6
"Effect_7    ",2.09218142252593,0.606907454359711,0.902664670032008,3.28169817501985,34,6,34,6,7
"Av_tot_eff  ",2.84842074270595,0.892934742059285,1.09830080772519,4.59854067768671,238,42,238,42,0
"Placebo_1   ",0.251280655862675,0.320092166257287,-0.376088461735015,0.878649773460364,34,6,34,6,-1
"Placebo_2   ",0.040076651033901,0.518975198394071,-0.977096046688007,1.05724934875581,34,6,34,6,-2
"Placebo_3   ",0.590456166260299,0.691342721632878,-0.76455066911404,1.94546300163464,34,6,34,6,-3
"Placebo_4   ",0.581151305121325,0.923237686613161,-1.22836130981055,2.3906639200532,34,6,34,6,-4
